u	v	w
253	1143	9	
7344	1144	12	
7894	1145	29	
8393	1146	16	
2515	1147	51	
4318	1148	2	
3230	1149	16	
9938	1150	35	
1681	1151	3	
1328	1152	24	
154	1153	11	
5660	1154	44	
297	1155	6	
6100	1156	6	
4462	1157	8	
8232	1158	10	
6648	1159	15	
7323	1160	3	
7928	1161	21	
1175	1162	34	
2462	1163	19	
2275	1164	41	
1913	1165	1	
5258	1166	24	
344	1167	6	
7411	1168	1	
8940	1169	3	
581	1170	4	
3634	1171	5	
6629	1172	40	
471	1173	8	
6466	1174	15	
6637	1175	9	
1901	1176	22	
1421	1177	4	
479	1178	3	
9023	1179	20	
440	1180	26	
3156	1181	9	
2231	1182	6	
6779	1183	44	
9750	1184	3	
3321	1185	2	
3559	1186	33	
3373	1187	18	
447	1188	19	
4151	1189	13	
2293	1190	17	
7015	1191	23	
1170	1192	3	
7106	1193	5	
7638	1194	34	
1757	1195	9	
5679	1196	16	
8818	1197	13	
8194	1198	13	
1311	1199	6	
8449	1200	11	
1622	1201	31	
6917	1202	1	
7326	1203	4	
4824	1204	25	
574	1205	14	
448	1206	13	
9983	1207	9	
6253	1208	3	
3473	1209	10	
971	1210	6	
2195	1211	5	
941	1212	22	
1345	1213	4	
5183	1214	11	
1820	1215	14	
9021	1216	24	
4079	1217	3	
5074	1218	3	
8468	1219	12	
6955	1220	8	
7988	1221	2	
3391	1222	16	
2251	1223	8	
2552	1224	12	
482	1225	10	
9747	1226	13	
1770	1227	2	
3001	1228	16	
5583	1229	14	
2489	1230	7	
8141	1231	3	
6693	1232	13	
554	1233	21	
3738	1234	9	
3063	1235	25	
4317	1236	44	
608	1237	16	
1583	1238	3	
3592	1239	8	
3239	1240	25	
7455	1241	4	
2796	1242	17	
8829	1243	5	
9157	1244	11	
3085	1245	16	
8463	1246	6	
9194	1247	8	
3929	1248	44	
4163	1249	18	
1167	1250	12	
9973	1251	22	
493	1252	12	
6793	1253	40	
5331	1254	6	
2358	1255	21	
8250	1256	14	
4230	1257	1	
7378	1258	8	
1277	1259	2	
6307	1260	6	
3764	1261	20	
3086	1262	15	
9569	1263	18	
8593	1264	2	
9822	1265	16	
4826	1266	11	
5007	1267	15	
5457	1268	10	
6849	1269	5	
1884	1270	2	
4215	1271	2	
4792	1272	11	
3869	1273	22	
8164	1274	5	
4741	1275	26	
2504	1276	1	
2962	1277	2	
86	1278	4	
8977	1279	5	
417	1280	6	
7667	1281	2	
9768	1282	35	
3812	1283	11	
934	1284	13	
3986	1285	8	
1426	1286	7	
8186	1287	17	
4710	1288	11	
6661	1289	20	
3738	1290	6	
1280	1291	1	
1654	1292	5	
5823	1293	8	
5238	1294	2	
1679	1295	41	
157	1296	35	
7516	1297	8	
7751	1298	14	
3407	1299	3	
1861	1300	5	
8462	1301	9	
6117	1302	18	
5169	1303	12	
5513	1304	6	
1461	1305	10	
464	1306	3	
9997	1307	11	
8593	1308	12	
2440	1309	3	
3600	1310	2	
1945	1311	6	
3112	1312	12	
6033	1313	17	
6441	1314	11	
6771	1315	43	
731	1316	10	
4890	1317	8	
2970	1318	4	
1541	1319	18	
7112	1320	1	
7282	1321	23	
6888	1322	28	
312	1323	2	
8074	1324	7	
356	1325	14	
